true_class,evidence_set_network__ACC,evidence_set_network__BLCA,evidence_set_network__BRCA,evidence_set_network__CESC,evidence_set_network__COAD,evidence_set_network__DLBC,evidence_set_network__GBMLGG,evidence_set_network__HNSC,evidence_set_network__KIPAN,evidence_set_network__KIRC,evidence_set_network__LAML,evidence_set_network__LGG,evidence_set_network__LIHC,evidence_set_network__LUAD,evidence_set_network__LUSC,evidence_set_network__OV,evidence_set_network__PAAD,evidence_set_network__PCPG,evidence_set_network__PRAD,evidence_set_network__SARC,evidence_set_network__SKCM,evidence_set_network__STES,evidence_set_network__TGCT,evidence_set_network__THCA,evidence_set_network__THYM,evidence_set_network__UCEC
HNSC,0.042165287,0.074377105,0.03199725,0.06694429,0.01313992,0.042632505,0.009553429,0.2357673,0.008925798,0.005181394,0.0016905162,0.061486546,0.018707037,0.023110216,0.19675504,0.0027716532,0.0057200636,0.0020619896,0.0019602056,0.00396999,0.017996864,0.07006982,0.008699227,0.00048413064,0.002709512,0.051122997
LUSC,0.16787644,0.061695684,0.0068623843,0.003148128,0.050281193,0.0076626353,0.0010064882,0.16291545,0.0002556329,0.00014251079,0.0002594782,0.001542138,0.017608646,0.11998601,0.17708966,0.021822046,0.057969794,0.00029305846,8.1658916e-05,0.0077690505,0.011289386,0.112296075,0.0007623253,1.2986085e-06,0.0019991684,0.007383614
KIPAN,0.008969464,0.01113676,0.0046149567,0.00397002,0.0012481528,0.011425953,0.005668176,0.0029171135,0.5263582,0.27216431,0.0032883065,0.005003233,0.012360709,0.009296592,0.0055591054,0.009979487,0.0036686615,0.010363465,0.004444609,0.009682704,0.035642248,0.0026973872,0.023925906,0.0040261177,0.009163846,0.0024245817
THCA,0.0040693674,0.0025398824,0.005235269,0.00246047,0.0016600223,0.0054721422,0.005491352,0.0018419689,0.0032507363,0.005516347,0.0042659235,0.004539998,0.0026069891,0.0041360455,0.0069570746,0.003302975,0.0028744854,0.008631623,0.008741878,0.002957682,0.057499927,0.0023427522,0.0049431385,0.843082,0.004176379,0.0014034867
LUSC,0.0068664416,0.07222352,0.009486558,0.005108827,0.11025444,0.012484276,0.010908171,0.116913974,0.0007718305,0.0005488318,0.0031895344,0.018073035,0.038514916,0.09002403,0.1820105,0.097186245,0.05875647,0.0012951271,0.0021688181,0.034486685,0.03200101,0.033608273,0.0022296882,0.000100587895,0.0024389073,0.05834924
STES,0.050283715,0.053206876,0.007911131,0.0028812934,0.054113228,0.011903582,0.00026776828,0.22204435,4.1376585e-05,2.3006356e-05,5.475446e-05,0.00023422949,0.018006826,0.06186499,0.2062398,0.0032605908,0.06909412,5.3665874e-05,7.8934674e-05,0.0026119715,0.098791905,0.12138713,0.00039100865,8.152394e-07,0.00068105443,0.014571883
PRAD,0.16274442,0.050822068,0.036890473,0.015055805,0.024560722,0.0055399346,0.018797362,0.016402801,0.020336924,0.024780909,0.01232884,0.021908706,0.012536784,0.016101882,0.026387636,0.03189031,0.022036403,0.019815436,0.32040158,0.018592488,0.024318872,0.0030222076,0.025429053,0.016356803,0.017107667,0.035833962
BRCA,0.08288352,0.0049382,0.7806691,0.006391524,0.003282069,0.009381349,0.0027205755,0.0020494005,0.0033457747,0.0039365566,0.0033897557,0.0043404475,0.0018401234,0.004678563,0.0027443515,0.007215204,0.0059767584,0.0035732447,0.005292802,0.004605359,0.00538982,0.018540235,0.0056001507,0.0034166514,0.021750972,0.0020476033
LUSC,0.024204444,0.059588518,0.00042003873,0.12528925,0.11246751,0.035793282,0.00031646286,0.02188857,0.00043009938,0.00016436205,6.199789e-06,3.153116e-05,0.07124834,0.13392453,0.12728187,0.00031759875,0.0042749876,1.423087e-05,1.2948065e-05,0.00041853488,0.06565013,0.064197145,0.0007527315,2.1943958e-06,0.00013254785,0.15117194
UCEC,0.0029615944,0.05414855,0.0016512532,0.019075057,0.014829365,0.009534322,0.00061074237,0.0016091978,0.00061473786,0.0003694817,5.6194218e-05,6.9914095e-05,0.015067164,0.0031528054,0.03192829,0.00030854327,0.0008575327,0.00011255785,3.7648624e-05,0.00031437786,0.0049041803,0.06841432,0.0005176814,3.2568698e-06,0.00094891473,0.7679023
OV,0.03681716,0.06521451,0.057549406,0.0072737196,0.01827687,0.012926679,0.03808206,0.21586329,0.0025022984,0.0010231249,0.007372286,0.0080456855,0.040303733,0.055220578,0.064410985,0.09975263,0.05204337,0.00063515874,0.001286437,0.11651733,0.008248207,0.07667417,0.00278641,0.00024532794,0.0037135258,0.007215133
BRCA,0.009569111,0.02527074,0.029673431,0.008092372,0.04120192,0.010886094,0.065239556,0.019214246,0.014963958,0.011994554,0.008960295,0.13864233,0.0604093,0.05391541,0.02946369,0.31362873,0.041292302,0.009045347,0.012582283,0.03926417,0.0041648075,0.016281744,0.011902517,0.007251125,0.00608524,0.011004797
CESC,0.00620246,0.0061134067,0.061262377,0.04907796,0.00975672,0.10925043,0.09304368,0.029844416,0.06546317,0.1188741,0.06108295,0.08882262,0.00058542716,0.0033854842,0.003088598,0.0442655,0.0033975812,0.044157304,0.04297829,0.023875684,0.002175803,0.0020731436,0.0037387367,0.038479272,0.087716214,0.0012886783
BRCA,0.020337246,0.06501205,0.036145613,0.007345626,0.0336737,0.0075719412,0.0555432,0.10838216,0.004199179,0.005145025,0.005244168,0.060668685,0.039423775,0.05966417,0.13614728,0.08682433,0.10892177,0.0020198878,0.004182321,0.047772184,0.031499717,0.052884158,0.004190206,0.0016464947,0.0041033523,0.011451828
LAML,0.00024644085,0.00016971616,0.00019872945,0.00017599268,0.00013452787,0.00038173835,0.011071609,0.0001510492,0.00024819776,0.00025184004,0.8885478,0.09477874,0.00010995669,0.00011558901,0.00011444965,0.0002550058,0.00016225487,0.00018442469,0.00031768117,0.00019569248,0.0010309619,0.00016815102,0.000268377,0.00012332769,0.00033729553,0.00026053577
STES,0.010258347,0.15195628,0.09298269,0.016621066,0.079605915,0.008737845,0.03824547,0.13280424,0.0019606443,0.0017674877,0.0023421114,0.029396389,0.025954861,0.039557505,0.17608237,0.021802073,0.012252076,0.00095497095,0.0017299398,0.01186939,0.044540916,0.04490042,0.0037515848,0.00046376858,0.002314186,0.047147483
KIPAN,0.03065491,0.034806397,0.059766185,0.0491714,0.01262764,0.028013136,0.05513095,0.05852866,0.08712031,0.010487455,0.032759868,0.04711419,0.07477475,0.02885405,0.017120736,0.069124505,0.013116088,0.04116633,0.05724674,0.044526666,0.0039476464,0.0070772246,0.043508828,0.042711627,0.04091685,0.00972694
SKCM,0.0007371441,0.0008205779,5.1797336e-08,0.00034024706,0.0021522907,0.00036834626,2.705631e-09,3.521594e-05,1.2316174e-10,3.267047e-12,2.9572461e-15,6.676312e-13,5.839442e-06,0.0019253565,0.0023469145,1.7343828e-10,1.2641391e-08,1.0879008e-13,4.0154238e-13,3.3240246e-09,0.9881493,0.0015054268,3.309624e-10,4.296844e-16,3.3228042e-11,0.0016132093
LIHC,0.02262136,0.01760745,0.028603062,0.02596565,0.030385159,0.013947875,0.31519207,0.036147375,0.027047759,0.030261474,0.019498851,0.033709295,0.1953566,0.01651595,0.01430771,0.03207384,0.010755505,0.008861599,0.02482102,0.029915214,0.008489734,0.010108276,0.015059675,0.008022789,0.009821039,0.014903745
UCEC,0.007810532,0.056067895,0.026982425,0.015293304,0.03293645,0.01262355,0.0041994955,0.023189541,0.0042499662,0.004051863,0.00043512764,0.0008673367,0.006138458,0.011334789,0.038852982,0.00090065313,0.0023768458,0.0005145987,0.0005559643,0.00090092374,0.027498508,0.03705298,0.003584292,0.00015876867,0.0032915475,0.67813116
BRCA,0.03625476,0.01979012,0.044756506,0.036484838,0.027277628,0.028096115,0.0797443,0.04394859,0.037203427,0.036654655,0.020163119,0.032550495,0.086672455,0.049102396,0.08498143,0.039233815,0.06442465,0.031069074,0.038044315,0.053636152,0.007601934,0.007339199,0.03761361,0.01945133,0.021497859,0.016407188
SARC,0.099150695,0.007831523,0.03163488,0.0048730196,0.0044292016,0.13000871,0.030517975,0.051474515,0.0696327,0.02793716,0.046818748,0.035395887,0.004962411,0.0059506004,0.03749193,0.033309028,0.011647252,0.05091831,0.067280754,0.038685348,0.0327765,0.0057915407,0.060195036,0.028486697,0.0748463,0.007953263
LIHC,0.008051304,0.08795048,0.06298177,0.12724835,0.07137657,0.06300084,0.016715862,0.17931263,0.0036071828,0.0025357662,0.00032444063,0.0027224484,0.018146278,0.026457047,0.05292977,0.0034050525,0.0064530047,0.0009777886,0.003610725,0.0030833178,0.03143059,0.13189521,0.0027438533,0.00012117622,0.0019552228,0.09096333
THCA,0.009296747,0.0045082266,0.009302472,0.011534514,0.020828592,0.012792888,0.007548848,0.0048299357,0.0054962104,0.0061617657,0.004360715,0.005826142,0.007021827,0.019154688,0.00774446,0.0076210387,0.0073355944,0.006422591,0.009561026,0.0043787323,0.07897277,0.006539977,0.005711545,0.72740644,0.0052334717,0.0044087693
LAML,0.0011726711,6.6533474e-05,0.0003961411,0.00016894026,0.0001370877,0.00016770471,0.00054099405,0.00018609766,0.00027324783,0.00065847294,0.98991853,0.00061846245,0.00065012317,0.0002747008,7.8574936e-05,0.0005547418,0.00025301124,0.00063766626,0.00039890612,0.00019900789,0.0002210582,9.1451606e-05,0.0004418182,0.00034067445,0.0014620973,9.137184e-05
LGG,0.0014071842,0.0067674406,0.0014053159,0.00076981285,0.003514902,0.0022372918,0.13253017,0.011201651,0.00057376514,0.00060099177,0.00069803477,0.7672905,0.011234875,0.0049937563,0.010526073,0.010134596,0.004711331,0.0004966575,0.0003499548,0.013296734,0.004873893,0.0046757814,0.0005943736,0.0001648452,0.00043602448,0.0045141904
BRCA,0.030158965,0.009002942,0.03501975,0.046809405,0.009655398,0.009249168,0.074008696,0.042544797,0.054413244,0.03078318,0.07044163,0.059704095,0.028659482,0.02497818,0.016162641,0.06581636,0.011065639,0.07229313,0.05074186,0.073121235,0.007303698,0.00884043,0.038604192,0.054174934,0.067240484,0.009206445
SARC,0.033089753,0.007513301,0.003607142,0.00635731,0.0035253693,0.031578846,0.18944557,0.0018224778,0.0050327904,0.0063031474,0.010505905,0.31497434,0.031160966,0.03549198,0.011353668,0.008168897,0.0076175863,0.010441652,0.0060573323,0.22546113,0.011285253,0.0013512555,0.012669727,0.005592779,0.013194962,0.006396889
STES,0.008804144,0.013033465,0.81445223,0.008950473,0.0046105417,0.0111074,0.003958483,0.0070716846,0.0036297934,0.005860938,0.0012508522,0.0023195697,0.0094030555,0.0070483754,0.006506381,0.00558172,0.01220235,0.0032298444,0.0017085162,0.0046780803,0.017505158,0.014091319,0.006059616,0.0006979535,0.0046870345,0.021551086
ACC,0.17893851,0.028829211,0.050459072,0.028953893,0.03217641,0.023363523,0.035042882,0.037226558,0.08960601,0.03826444,0.049119875,0.0254144,0.027118273,0.026248835,0.019014092,0.028562432,0.04447356,0.01865811,0.02125297,0.02481185,0.017679086,0.014240428,0.07905678,0.016469274,0.029845411,0.01517416
OV,0.031272225,0.028012164,0.065265894,0.041408055,0.026936052,0.039139923,0.053797342,0.08276642,0.076005876,0.060267158,0.011880224,0.046679787,0.034956332,0.024052165,0.048687484,0.03159959,0.029285535,0.014697309,0.044606313,0.04140134,0.0230292,0.026881095,0.03996681,0.008408876,0.036315124,0.03268166
BRCA,0.018089704,0.037212335,0.17390731,0.007642386,0.011236733,0.027326345,0.077639505,0.024508722,0.046008382,0.07119679,0.025495393,0.05917265,0.07166371,0.016040562,0.027899055,0.0503654,0.02352531,0.053236466,0.04231797,0.033851758,0.0058423895,0.0039888476,0.02699341,0.017593931,0.032496452,0.014748574
HNSC,0.0037577911,0.096916854,0.0018366281,0.004756007,0.010558693,0.009169052,0.016475659,0.4230758,0.0018656478,0.00046284826,0.0012674243,0.006003707,0.007682283,0.010376714,0.11020752,0.009634387,0.20823805,0.0005199945,0.0007910558,0.01882462,0.01227863,0.008085666,0.0020085864,0.00013674698,0.002563922,0.03250584
PCPG,0.019676767,0.012316029,0.0064695054,0.0041443873,0.0049853832,0.005883099,0.26995745,0.004835184,0.0039545414,0.0058127656,0.0041822153,0.2410404,0.021954011,0.097025536,0.0028815817,0.029336557,0.0038223604,0.19083154,0.0037529308,0.010335089,0.014794049,0.024586922,0.0038570506,0.005737988,0.0036241084,0.0042026243
BRCA,0.019732788,0.099556185,0.14946024,0.022888953,0.03829054,0.031839103,0.046157222,0.029502405,0.019452462,0.024411967,0.018585466,0.03117468,0.022613639,0.025380466,0.019864272,0.02829355,0.015042273,0.040801547,0.01965118,0.026674185,0.017549165,0.032656662,0.033417895,0.016368048,0.025574137,0.14506105
BLCA,0.008090688,0.17924142,0.005956275,0.006209683,0.15704852,0.007883543,0.0011766424,0.08417266,0.00021162147,5.306034e-05,0.00041359314,0.0035748915,0.016866736,0.06952009,0.09056008,0.009999975,0.1385289,0.00069363037,5.7152647e-05,0.003165599,0.029489359,0.14406745,0.002652897,3.6575059e-06,0.0031371699,0.037224732
BRCA,0.011398557,0.06489816,0.020294355,0.007570603,0.072762884,0.010368641,0.033981208,0.08130097,0.0016259487,0.0015579624,0.0027407103,0.04144428,0.038300734,0.08141327,0.1257816,0.14405815,0.07556625,0.0013047389,0.0374364,0.012162024,0.031199817,0.058177274,0.001603445,0.0002941099,0.0039434345,0.038814403
LUAD,0.009274255,0.05978603,0.0067050303,0.015106689,0.051054884,0.02990811,0.0038212233,0.028507398,0.00013486041,0.00020564355,6.538187e-05,0.00018889368,0.0037844926,0.075812936,0.16996786,0.00022101722,0.0073020393,0.000194235,0.00010016155,0.00040253394,0.30821335,0.057302743,0.0042674914,8.909547e-05,0.0012791904,0.16630448
GBMLGG,0.0002385142,0.00056047394,0.0005120194,0.00016440035,0.00023722081,0.00031178875,0.44983453,0.00081363745,0.00020852331,6.2289815e-05,0.00018762043,0.5285027,0.00037110358,0.00035040028,0.001242371,0.00711522,0.00026172772,0.00018805242,7.9519436e-05,0.0068619414,0.00028611592,0.0009063915,7.205535e-05,3.8796985e-05,0.00011678183,0.0004757386
GBMLGG,0.0039903065,0.022158055,0.056371305,0.0571739,0.0050297366,0.0124303,0.18251301,0.0038433366,0.061156917,0.042571895,0.0038812216,0.0052775093,0.027982157,0.00685471,0.0062423623,0.0034207099,0.0032709853,0.003970209,0.0920515,0.0466197,0.016162757,0.0124145765,0.005365605,0.0075815846,0.0039645527,0.30770117
BLCA,0.020171372,0.19706973,0.046244062,0.080668345,0.09615317,0.052283823,0.0017128255,0.031567547,0.004837858,0.0061320565,0.0010897276,0.0019022195,0.02725838,0.033359878,0.18661684,0.0015421193,0.0063011902,0.0012556511,0.001727586,0.0025327008,0.02543495,0.06697307,0.008925724,0.00013636093,0.0029393926,0.09516345
KIRC,0.22727008,0.03491206,0.0071303714,0.034752544,0.016113803,0.017445436,0.0071357707,0.021345422,0.09903998,0.21105622,0.004414773,0.009142019,0.02055203,0.021129787,0.029924458,0.010286165,0.021893635,0.0065182904,0.004007695,0.016020682,0.055552337,0.07336754,0.016575025,0.0038903968,0.006037791,0.024485627
PAAD,0.0086081,0.034949213,0.0019768102,0.009397848,0.00440509,0.008794059,0.006940352,0.5572716,0.008513319,0.0034118907,0.006054447,0.0029450313,0.007476586,0.0076371403,0.04424003,0.004565488,0.19102208,0.005758986,0.003185699,0.016028443,0.029699687,0.0064692246,0.00642313,0.0034677826,0.006247041,0.014510911
CESC,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
BRCA,0.014942788,0.010957321,0.39603353,0.05555909,0.017147917,0.026136873,0.019976543,0.023064163,0.017221648,0.012312506,0.013929967,0.020813826,0.018667627,0.043093126,0.026004968,0.03053121,0.02607302,0.014360889,0.017436417,0.030982254,0.026000021,0.027518202,0.025521122,0.013984504,0.020481769,0.05124864
BRCA,0.026252924,0.10021275,0.064146005,0.04720936,0.060829118,0.035994574,0.0058198567,0.095131926,0.016984481,0.008863873,0.0035674975,0.0032485656,0.07120952,0.08644087,0.040675905,0.020423902,0.033698846,0.0061325575,0.0037219704,0.010365256,0.13570821,0.049703334,0.029045269,0.0006635208,0.008582321,0.035367638
COAD,0.0026097666,0.02552137,0.0029460778,0.002421483,0.8418371,0.0021007666,0.0017423551,0.003457905,0.0006051497,0.000844061,0.0008941998,0.0032242688,0.019718006,0.017422404,0.006131812,0.019501202,0.0056295805,0.0005513717,0.0020725767,0.0074231382,0.005572958,0.0086093815,0.0008714297,0.0002823839,0.0010552529,0.016953992
GBMLGG,0.0038509178,0.001119956,0.00089604175,0.0013903215,0.00083693373,0.0067803888,0.40032026,0.00139506,0.00092268264,0.0016676734,0.0018484079,0.53086317,0.0029369488,0.0027014776,0.0014728004,0.0011822096,0.0012769544,0.001800504,0.0012146671,0.025634121,0.001958939,0.0009768636,0.0015781949,0.0012161067,0.0013967825,0.0027617263
TGCT,0.027528472,0.022778807,0.029382106,0.031345725,0.036826402,0.01877772,0.019354241,0.03271507,0.021699259,0.01218372,0.010486019,0.019305382,0.05179336,0.03221357,0.02626199,0.025465503,0.24494152,0.013109537,0.059928097,0.03286804,0.032474197,0.08928507,0.039586905,0.0083456645,0.031872507,0.029471207
KIRC,0.03317749,0.04438236,0.054722622,0.060133178,0.047492065,0.02137537,0.04270637,0.04078464,0.015684515,0.04298198,0.047215354,0.047314405,0.029488452,0.056218784,0.029558053,0.04634853,0.008840205,0.046175156,0.048859462,0.0480446,0.0100071095,0.0337709,0.043301623,0.043336183,0.038978834,0.019101746
KIPAN,0.031488866,0.10599402,0.03786974,0.061120667,0.018249623,0.090814956,0.056139253,0.054001324,0.03824566,0.039063144,0.013468836,0.028291682,0.076717846,0.033104524,0.025138889,0.026451336,0.026692485,0.01743407,0.017403208,0.042266767,0.05850877,0.009312932,0.039774757,0.011658587,0.029930143,0.010857887
OV,0.008211012,0.06130242,0.024143824,0.006894884,0.087075345,0.008102491,0.017391542,0.07893777,0.0024730498,0.0015808058,0.0016316277,0.011140134,0.040754512,0.06517511,0.08979747,0.0887423,0.10789544,0.00054600684,0.0037174455,0.050674446,0.022394845,0.2037611,0.0019625595,0.00024974498,0.0028293973,0.012614664
GBMLGG,0.0012860383,0.004531386,0.0019999915,0.0009652751,0.0039484985,0.0018940578,0.37233853,0.0054739313,0.0006994634,0.00028715353,0.0011023083,0.5273424,0.0069420678,0.003272434,0.012050384,0.01970089,0.004259469,0.0003187409,0.00076727086,0.003538517,0.013159218,0.0065181055,0.00077149057,6.5016815e-05,0.0005521032,0.0062152916
BRCA,0.00188531,0.005672525,0.75301486,0.016319009,0.03838058,0.009399781,0.015863683,0.011514536,0.0074129975,0.00463239,0.0032725933,0.014109065,0.007728997,0.010661881,0.008745573,0.0047802194,0.003318092,0.0023852848,0.0047652153,0.0028009103,0.02309503,0.010959222,0.007906918,0.0016522354,0.0038943791,0.025828732
LGG,0.034870993,0.015568774,0.024194183,0.03141867,0.009794368,0.018969147,0.02534729,0.12135753,0.029429777,0.029280743,0.38489988,0.02735698,0.022989428,0.013080016,0.015894433,0.024942815,0.019911492,0.020180857,0.017679358,0.02346686,0.015363264,0.015016434,0.023857616,0.011044516,0.017788766,0.006295749
OV,0.0066093295,0.04751262,0.028321624,0.0075212936,0.019527243,0.010493585,0.077692755,0.08662734,0.010870507,0.008516575,0.004165953,0.11710755,0.07300312,0.056325976,0.06786033,0.19304219,0.060599085,0.0054089585,0.009455811,0.057815954,0.0064092185,0.014699425,0.004906516,0.005606873,0.0041736434,0.01572658
COAD,0.00032751603,0.0052311365,6.641665e-05,0.00020770263,0.9446501,0.00056798477,0.00020115857,0.0017245638,4.970157e-05,3.352029e-05,0.00013688642,0.00044986216,0.0043969997,0.0025504408,0.014990187,0.00075171737,0.0006659555,3.0159848e-05,0.000102327824,0.0003289318,0.006938006,0.0043792143,0.000100169054,1.1561974e-05,0.00020235556,0.0109055005
UCEC,0.011111878,0.052592777,0.013292118,0.0059106355,0.10448805,0.023223653,0.05132587,0.11272537,0.00643135,0.0036071462,0.0068245633,0.042190455,0.026791144,0.12158792,0.10628056,0.054135565,0.038291838,0.0020376712,0.0072966004,0.016326776,0.039169606,0.012770171,0.0060195588,0.104394294,0.006572516,0.02460193
KIRC,0.046167936,0.03722158,0.036053788,0.065112785,0.05079421,0.023344385,0.027953897,0.06168221,0.06887814,0.009570587,0.008975852,0.01128977,0.03686281,0.09236169,0.049400307,0.034326926,0.050897397,0.01316521,0.02297249,0.039955296,0.120338306,0.026582018,0.020164767,0.010710018,0.025698913,0.0095186625
TGCT,0.041081317,0.17017445,0.035117026,0.043405537,0.07211894,0.052600116,0.016393637,0.064264126,0.010316613,0.012285392,0.0055996752,0.006518437,0.061629977,0.06198001,0.09305066,0.017671322,0.057521597,0.008697775,0.009165895,0.013107489,0.04212113,0.032591935,0.019504197,0.005775755,0.014727915,0.03257906
SKCM,0.007539634,0.013848848,1.4699054e-05,0.0021256213,0.012894199,0.016069058,1.791668e-06,0.007500298,1.3358043e-06,2.065756e-06,4.70949e-06,1.0126043e-06,0.0029602007,0.028198484,0.024218936,2.2996051e-05,0.004842898,1.4675369e-05,2.4834267e-06,2.5126348e-05,0.78626066,0.024283543,0.0006398337,3.0833906e-08,0.0005812666,0.06794545
KIPAN,0.008298821,0.0087294895,0.0019429311,0.0075211073,0.0031129944,0.013232964,0.0033457088,0.0065240213,0.49442697,0.35201216,0.0038213967,0.005848761,0.008731695,0.0069210283,0.008454724,0.0061929394,0.00785651,0.015434157,0.0048668566,0.0055876425,0.0037932154,0.0026157165,0.008393454,0.0029892826,0.008207857,0.0011376115
STES,0.019233221,0.06681002,0.016670626,0.0038207162,0.018162895,0.004568725,0.05396458,0.027375638,0.0055106194,0.006974232,0.011676449,0.10338483,0.05784365,0.05539872,0.039865207,0.3770883,0.018579124,0.00530694,0.01486529,0.04936564,0.0036639962,0.011543402,0.0060154097,0.003653579,0.0062619597,0.012396204
LAML,0.0001084122,0.00010939167,3.3729517e-05,5.7605517e-05,3.4738798e-05,0.00010726807,6.424246e-05,3.4567547e-05,6.693052e-05,0.00010665755,0.9979584,0.00010728116,0.00010839783,0.000107683074,0.000107857384,6.204387e-05,0.00010929323,0.000108636996,6.364095e-05,0.00010758146,5.2668005e-05,2.5267494e-05,0.00010919676,0.0001068357,0.00010839483,3.3135097e-05
LGG,0.0020522396,0.00058267324,0.0018980522,0.0036641045,0.0016005929,0.0018551814,0.017602764,0.0018451787,0.001621729,0.0017762475,0.004437357,0.936594,0.001817673,0.0014452651,0.0015278042,0.0016051835,0.0015433329,0.0014061495,0.0024233721,0.0024130475,0.0035610767,0.0007518197,0.0019945174,0.0016634044,0.0015169233,0.0008003312
UCEC,0.082627736,0.0075004664,0.02140394,0.0052853185,0.018381877,0.0015961679,0.11779666,0.004068579,0.010840409,0.0091658775,0.0019194447,0.0039177868,0.02557976,0.0075295568,0.05566108,0.030239148,0.0038794857,0.0010711807,0.0158739,0.024258353,0.0010106036,0.009275523,0.0009976812,0.0017482094,0.0011456101,0.5372256
THCA,0.059654653,0.020999528,0.036309768,0.06684383,0.01538942,0.013785175,0.034578368,0.010007362,0.02453819,0.053483184,0.06665407,0.04745389,0.045435127,0.002728893,0.02660252,0.0371514,0.04271199,0.067294665,0.06355634,0.06414559,0.0026600678,0.0013468921,0.06625044,0.059648555,0.06026,0.010510069
GBMLGG,0.013679184,0.0660414,0.019911341,0.02840887,0.0017685444,0.012857545,0.10970964,0.012511952,0.013035478,0.0054493356,0.003012268,0.0146781765,0.24891917,0.03457961,0.021697609,0.014122119,0.012381768,0.007945624,0.004102244,0.29256612,0.019549467,0.009353577,0.007114452,0.00218045,0.0042042583,0.02021981
KIPAN,0.2276845,0.01344844,0.008527939,0.009300426,0.018250918,0.011913999,0.009220496,0.012165189,0.21783222,0.19700731,0.010172241,0.013572576,0.015260235,0.006954371,0.013236277,0.012970291,0.0131105995,0.036793176,0.018987523,0.01604454,0.04496609,0.01076384,0.0136348,0.0097422665,0.011343022,0.027096812
SKCM,0.041845094,0.0831968,0.037895333,0.05456733,0.06230889,0.033346433,0.016888304,0.14442962,0.016230535,0.008480219,0.0022113204,0.013563398,0.040811505,0.06456957,0.06240179,0.017079605,0.066966504,0.004667654,0.0041800365,0.031321082,0.1043347,0.03290382,0.014956266,0.0020706845,0.009299678,0.029473748
GBMLGG,0.002100207,0.011796613,0.016905626,0.00043263653,0.011991219,0.003563108,0.15135275,0.03096668,0.00039817026,0.00023593755,0.0004532883,0.6942528,0.0025488632,0.018504394,0.0070115235,0.011472455,0.013967261,0.0002881401,0.00029821089,0.0048683314,0.0014057505,0.0073051583,0.0005165434,9.098615e-05,0.000595096,0.006678219
BRCA,0.012088998,0.05019503,0.25398225,0.06441554,0.055997107,0.035339754,0.043720704,0.09614078,0.008561452,0.009799663,0.0020800836,0.030009044,0.018374577,0.021159638,0.040255014,0.002376537,0.0030972203,0.0012415465,0.0041606193,0.0064585884,0.038299285,0.049939636,0.010403255,0.0009902021,0.0021313718,0.13878216
PCPG,0.063404806,0.0047293957,0.06691874,0.06408286,0.002322358,0.023855444,0.03527663,0.0053986697,0.04250896,0.040704288,0.055048086,0.047785774,0.01877172,0.0034846237,0.065651804,0.067111626,0.006630991,0.056343235,0.067383185,0.050591715,0.0044044643,0.0033085095,0.0595836,0.07018735,0.06175517,0.01275603
THCA,0.010043102,0.011162505,0.0056140614,0.014634788,0.00058902876,0.0018372984,0.008734574,0.015193656,0.003927534,0.0060632504,0.007209113,0.014715668,0.0071475087,0.00031240357,0.0073147183,0.004436711,0.019233888,0.007809021,0.017087437,0.011185562,0.19705397,0.011328272,0.018623622,0.5806358,0.011729075,0.006377465
GBMLGG,0.0015086697,0.007078127,0.022723623,0.0016819058,0.0075538373,0.0024462182,0.43146923,0.0093501685,0.0011535787,0.0017731807,0.0009832247,0.45127,0.0030162202,0.00621876,0.0048748245,0.01769842,0.0049383687,0.0006850634,0.00082732196,0.0027681256,0.00074257836,0.0064568426,0.0009274761,0.0003492051,0.00044971454,0.011055243
LAML,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
UCEC,0.034859393,0.03980144,0.03066025,0.09079155,0.11730342,0.032209404,0.04561941,0.063399866,0.033994954,0.02372639,0.036815904,0.024358764,0.037595034,0.073767066,0.029009813,0.061316103,0.01613987,0.01026993,0.012119323,0.03893385,0.041727338,0.03276504,0.02499498,0.007710677,0.014038259,0.026071964
THYM,0.0630991,0.0071538617,0.04142616,0.02252965,0.011761146,0.01282085,0.040129792,0.015278873,0.063602954,0.06988113,0.047959145,0.03890137,0.065222114,0.005538198,0.02843986,0.058967244,0.027825853,0.049462438,0.035530362,0.058367964,0.033660278,0.037966292,0.05361913,0.046506885,0.058843184,0.005506213
COAD,6.9831156e-05,0.0019798612,4.2131553e-05,5.99796e-05,0.9939009,6.578888e-05,5.3041516e-05,0.00011046539,2.9768296e-05,2.6712289e-05,1.9751671e-05,0.000116948635,0.00059159735,0.00043572485,0.00044748446,0.00041823363,0.00015522918,8.520979e-06,3.5548735e-05,0.00021580231,0.00022690334,0.00023125684,2.061378e-05,1.2243909e-05,2.7922673e-05,0.000697808
